Site,DEL,Gov,nb cell 2G,nb cell 3G,nb cell 4G,nb cell FWBA
TUN1420,CITE EL KHADRA,TUNIS,4,12,0,0
TUN1461,CITE EL KHADRA,TUNIS,5,12,6,0
TUN1490,CITE EL KHADRA,TUNIS,3,9,6,0
TUN1501,CITE EL KHADRA,TUNIS,6,15,6,0
TUN2015,CITE EL KHADRA,TUNIS,2,4,0,0
TUN2019,CITE EL KHADRA,TUNIS,2,4,0,0
TUN2021,CITE EL KHADRA,TUNIS,1,1,0,0
TUN2051,CITE EL KHADRA,TUNIS,1,2,0,0
TUN2052,CITE EL KHADRA,TUNIS,1,2,0,0
TUN2060,CITE EL KHADRA,TUNIS,1,2,0,0
TUN2061,CITE EL KHADRA,TUNIS,1,2,0,0
TUN2122,CITE EL KHADRA,TUNIS,1,1,0,0
TUN2178,CITE EL KHADRA,TUNIS,1,1,0,0
TUN2191,CITE EL KHADRA,TUNIS,#N/A,#N/A,#N/A,0
TUN2212,CITE EL KHADRA,TUNIS,2,2,0,0
TUN2502,CITE EL KHADRA,TUNIS,1,3,0,0
TUN2058,CITE EL KHADRA,TUNIS,1,1,0,0
TUN2153,CITE EL KHADRA,TUNIS,1,0,0,0
TUN2192,CITE EL KHADRA,TUNIS,#N/A,#N/A,#N/A,0
TUN2214,CITE EL KHADRA,TUNIS,#N/A,#N/A,#N/A,0
TUN2501,CITE EL KHADRA,TUNIS,1,3,0,0
TUN2230,CITE EL KHADRA,TUNIS,#N/A,#N/A,#N/A,0
TUN1804,CITE EL KHADRA,TUNIS,4,16,12,0
TUN1173,CITE ETTADHAMEN,ARIANA,6,17,6,0
TUN1085,CITE ETTADHAMEN,ARIANA,5,12,9,6
TUN1086,CITE ETTADHAMEN,ARIANA,6,18,9,6
TUN1087,CITE ETTADHAMEN,ARIANA,6,18,9,6
TUN1130,CITE ETTADHAMEN,ARIANA,6,18,9,6
TUN1172,CITE ETTADHAMEN,ARIANA,4,9,6,0
TUN1174,CITE ETTADHAMEN,ARIANA,6,18,6,6
TUN1175,CITE ETTADHAMEN,ARIANA,6,9,6,6
TUN1387,CITE ETTADHAMEN,ARIANA,6,15,9,6
TUN1411,CITE ETTADHAMEN,ARIANA,6,18,9,0
TUN2110,CITE ETTADHAMEN,ARIANA,#N/A,#N/A,#N/A,0
TUN1431,CITE ETTADHAMEN,ARIANA,3,9,9,0
TUN1718,CITE ETTADHAMEN,ARIANA,6,9,9,0
TUN1809,CITE ETTADHAMEN,ARIANA,6,9,9,0
KEF1006,DAHMANI,KEF,6,15,6,0
KEF1016,DAHMANI,KEF,5,12,0,0
KEF1040,DAHMANI,KEF,3,6,0,0
KEF1041,DAHMANI,KEF,5,11,0,0
KEF1045,DAHMANI,KEF,2,6,0,0
NAB1008,DAR CHAABANE,NABEUL,6,12,6,6
NAB1009,DAR CHAABANE,NABEUL,6,18,6,0
NAB1102,DAR CHAABANE,NABEUL,8,17,8,6
NAB1112,DAR CHAABANE,NABEUL,4,12,0,0
NAB1168,DAR CHAABANE,NABEUL,6,12,6,0
NAB1192,DAR CHAABANE,NABEUL,6,15,6,0
NAB1193,DAR CHAABANE,NABEUL,5,15,6,6
NAB1208,DAR CHAABANE,NABEUL,6,17,6,6
NAB1260,DAR CHAABANE,NABEUL,3,12,9,0
TOZ1006,DEGUECHE,TOZEUR,5,13,0,0
TOZ1008,DEGUECHE,TOZEUR,6,11,0,0
TOZ1009,DEGUECHE,TOZEUR,6,12,6,0
TOZ1013,DEGUECHE,TOZEUR,4,4,0,0
TAT1018,DHIBA,TATAOUINE,6,13,6,0
TAT1044,DHIBA,TATAOUINE,8,20,0,0
TAT1049,DHIBA,TATAOUINE,4,18,0,0
TAT1056,DHIBA,TATAOUINE,3,12,0,0
BAR1041,DJEBEL DJELOUD,TUNIS,5,15,6,0
BAR1097,DJEBEL DJELOUD,TUNIS,5,18,9,0
BAR1130,DJEBEL DJELOUD,TUNIS,5,12,6,0
SFX1045,DJEBENIANA,SFAX,6,6,6,0
SFX1082,DJEBENIANA,SFAX,5,2,6,0
SFX1093,DJEBENIANA,SFAX,6,6,6,0
SFX1149,DJEBENIANA,SFAX,5,6,6,0
SFX1162,DJEBENIANA,SFAX,7,12,0,0
SFX1191,DJEBENIANA,SFAX,8,6,8,0
TUN1122,DJEDAIDA,MANOUBA,3,8,0,0
TUN1203,DJEDAIDA,MANOUBA,6,10,0,0
TUN1211,DJEDAIDA,MANOUBA,5,9,3,0
TUN1361,DJEDAIDA,MANOUBA,8,16,12,0
TUN1412,DJEDAIDA,MANOUBA,5,12,9,0
TUN1438,DJEDAIDA,MANOUBA,5,18,9,0
TUN1474,DJEDAIDA,MANOUBA,7,12,12,0
KEF1009,DJERISSA,KEF,5,12,6,0
KEF1031,DJERISSA,KEF,3,6,0,0
BIZ1036,DJOUMINE,BIZERTE,6,18,0,0
BIZ1084,DJOUMINE,BIZERTE,6,12,0,0
BIZ1103,DJOUMINE,BIZERTE,5,16,0,0
BIZ1114,DJOUMINE,BIZERTE,7,16,0,0
BIZ1116,DJOUMINE,BIZERTE,7,16,0,0
BIZ1126,DJOUMINE,BIZERTE,6,18,0,0
TUN1091,DOUAR HICHER,MANOUBA,6,16,9,6
TUN1126,DOUAR HICHER,MANOUBA,5,15,9,0
TUN1264,DOUAR HICHER,MANOUBA,4,15,9,0
TUN1265,DOUAR HICHER,MANOUBA,6,16,9,0
TUN1280,DOUAR HICHER,MANOUBA,4,9,6,0
TUN1341,DOUAR HICHER,MANOUBA,5,16,9,0
TUN1348,DOUAR HICHER,MANOUBA,7,20,9,6
TUN1413,DOUAR HICHER,MANOUBA,7,20,12,6
TUN1434,DOUAR HICHER,MANOUBA,5,16,12,0
TUN1435,DOUAR HICHER,MANOUBA,5,16,9,0
TUN1437,DOUAR HICHER,MANOUBA,6,12,0,0
KEB1010,DOUZ,KEBILI,6,17,6,0
KEB1011,DOUZ,KEBILI,8,18,8,0
KEB1012,DOUZ,KEBILI,5,15,6,0
KEB1015,DOUZ,KEBILI,4,11,0,0
KEB1017,DOUZ,KEBILI,2,4,0,0
KEB1020,DOUZ,KEBILI,3,6,0,0
KEB1022,DOUZ,KEBILI,5,12,6,0
KEB1024,DOUZ,KEBILI,5,13,0,0
KEB1029,DOUZ,KEBILI,4,14,6,0
KEB1040,DOUZ,KEBILI,4,4,0,0
KEB1016,DOUZ,KEBILI,2,4,0,0
KEB1045,DOUZ,KEBILI,4,16,12,0
BIZ1001,EL ALIA,BIZERTE,4,17,6,0
BIZ1058,EL ALIA,BIZERTE,5,5,0,0
BIZ1099,EL ALIA,BIZERTE,3,6,0,0
BIZ1110,EL ALIA,BIZERTE,3,12,0,0
BIZ1119,EL ALIA,BIZERTE,4,16,6,0
SFX1347,EL AMRA,SFAX,3,9,9,0
SLO1035,EL AROUSSA,SILIANA,6,9,0,0
SLO1043,EL AROUSSA,SILIANA,6,9,0,0
SLT1082,EL AROUSSA,SILIANA,8,12,0,0
TUN1279,EL BATTANE,MANOUBA,5,12,6,0
TUN1314,EL BATTANE,MANOUBA,4,11,0,0
TUN1446,EL BATTANE,MANOUBA,2,6,0,0
ZGO1009,EL FAHS,ZAGHOUAN,6,9,6,0
ZGO1010,EL FAHS,ZAGHOUAN,5,9,6,0
ZGO1012,EL FAHS,ZAGHOUAN,5,9,0,0
ZGT1052,EL FAHS,ZAGHOUAN,4,3,0,0
ZGT1053,EL FAHS,ZAGHOUAN,4,3,0,0
ZGT1054,EL FAHS,ZAGHOUAN,6,9,0,0
ZGT1056,EL FAHS,ZAGHOUAN,5,9,0,0
ZGT1057,EL FAHS,ZAGHOUAN,6,9,0,0
ZGT1058,EL FAHS,ZAGHOUAN,7,12,0,0
ZGT1062,EL FAHS,ZAGHOUAN,3,9,0,0
KEB1013,EL FAOUAR,KEBILI,7,18,8,0
KEB1014,EL FAOUAR,KEBILI,4,13,0,0
KEB1018,EL FAOUAR,KEBILI,2,6,0,0
KEB1019,EL FAOUAR,KEBILI,3,10,0,0
KEB1026,EL FAOUAR,KEBILI,4,12,0,0
KEB1031,EL FAOUAR,KEBILI,4,11,0,0
NAB1023,EL HAOUARIA,NABEUL,3,#N/A,#N/A,0
NAB1089,EL HAOUARIA,NABEUL,5,16,6,0
NAB1090,EL HAOUARIA,NABEUL,8,20,8,0
NAB1091,EL HAOUARIA,NABEUL,4,22,4,0
NAB1095,EL HAOUARIA,NABEUL,6,15,6,0
NAB1109,EL HAOUARIA,NABEUL,3,6,0,0
NAB1110,EL HAOUARIA,NABEUL,5,12,0,0
NAB1172,EL HAOUARIA,NABEUL,5,16,0,0
NAB1173,EL HAOUARIA,NABEUL,8,16,4,0
NAB1185,EL HAOUARIA,NABEUL,6,17,6,0
NAB1279,EL HAOUARIA,NABEUL,6,13,6,0
TUN1621,EL HRAIRIA,TUNIS,4,12,6,0
TUN1128,EL HRAIRIA,TUNIS,6,9,6,0
TUN1129,EL HRAIRIA,TUNIS,6,12,6,6
TUN1156,EL HRAIRIA,TUNIS,6,4,0,0
TUN1158,EL HRAIRIA,TUNIS,7,16,9,0
TUN1159,EL HRAIRIA,TUNIS,6,12,6,0
TUN1160,EL HRAIRIA,TUNIS,5,15,9,0
TUN1161,EL HRAIRIA,TUNIS,6,15,6,6
TUN1162,EL HRAIRIA,TUNIS,7,20,12,6
TUN1164,EL HRAIRIA,TUNIS,6,16,9,0
TUN1169,EL HRAIRIA,TUNIS,5,15,9,0
TUN1236,EL HRAIRIA,TUNIS,6,19,9,6
TUN1245,EL HRAIRIA,TUNIS,8,14,12,0
TUN1246,EL HRAIRIA,TUNIS,5,22,9,0
TUN1274,EL HRAIRIA,TUNIS,5,6,9,0
TUN1310,EL HRAIRIA,TUNIS,4,16,9,0
TUN1320,EL HRAIRIA,TUNIS,6,12,6,6
TUN1339,EL HRAIRIA,TUNIS,#N/A,#N/A,#N/A,0
TUN1403,EL HRAIRIA,TUNIS,5,12,9,0
TUN1464,EL HRAIRIA,TUNIS,8,18,8,0
TUN2121,EL HRAIRIA,TUNIS,#N/A,#N/A,#N/A,0
MAH1044,EL JEM,MAHDIA,6,18,6,0
MAH1031,EL JEM,MAHDIA,5,15,6,0
MAH1032,EL JEM,MAHDIA,4,15,6,0
MAH1037,EL JEM,MAHDIA,6,18,6,0
MAH1054,EL JEM,MAHDIA,6,17,6,0
MAH1059,EL JEM,MAHDIA,4,12,0,0
MAH1060,EL JEM,MAHDIA,6,16,6,0
SFX1091,EL JEM,MAHDIA,4,14,8,0
MAH1118,El JEM,MAHDIA,4,12,8,0
KEF1032,EL KRIB,SILIANA,4,9,0,0
SLO1007,EL KRIB,SILIANA,6,9,0,0
SLT1067,EL KRIB,SILIANA,6,9,0,0
SLT1080,EL KRIB,SILIANA,6,9,0,0
SIL1054,EL KRIB,SILIANA,#N/A,#N/A,#N/A,0
SLT1074,EL KRIB,SILIANA,6,9,0,0
SIL1007,EL KRIB,SILIANA,#N/A,#N/A,#N/A,0
KEF1010,EL KSOUR,KEF,4,10,0,0
SFX1031,EL MAHRES,SFAX,4,4,3,0
SFX1032,EL MAHRES,SFAX,4,9,6,0
SFX1044,EL MAHRES,SFAX,3,6,6,0
SFX1052,EL MAHRES,SFAX,4,2,0,0
SFX1073,EL MAHRES,SFAX,6,4,6,0
SFX1138,EL MAHRES,SFAX,6,6,0,0
SFX1159,EL MAHRES,SFAX,6,9,0,0
SFX1161,EL MAHRES,SFAX,4,12,0,0
SFX1179,EL MAHRES,SFAX,#N/A,#N/A,#N/A,0
SFX1181,EL MAHRES,SFAX,4,9,0,0
SFX1195,EL MAHRES,SFAX,4,9,0,0
SFX1200,EL MAHRES,SFAX,4,3,3,0
SFX1220,EL MAHRES,SFAX,3,6,0,0
TUN1079,EL MEDINA,TUNIS,5,15,6,6
TUN1084,EL MEDINA,TUNIS,4,15,3,6
TUN1216,EL MEDINA,TUNIS,5,15,6,6
TUN2013,EL MEDINA,TUNIS,1,2,0,0
TUN2042,EL MEDINA,TUNIS,1,1,0,0
TUN2044,EL MEDINA,TUNIS,1,1,0,0
TUN2045,EL MEDINA,TUNIS,1,1,0,0
TUN2046,EL MEDINA,TUNIS,1,1,0,0
TUN2049,EL MEDINA,TUNIS,1,1,0,0
TUN2120,EL MEDINA,TUNIS,1,2,0,0
TUN2161,EL MEDINA,TUNIS,#N/A,#N/A,#N/A,0
TUN2163,EL MEDINA,TUNIS,#N/A,#N/A,#N/A,0
TUN2047,EL MEDINA,TUNIS,1,1,0,0
TUN2201,EL MEDINA,TUNIS,#N/A,#N/A,#N/A,0
TUN1807,EL MEDINA,TUNIS,4,20,8,0
TUN1027,EL MENZAH,TUNIS,5,15,6,6
TUN1031,EL MENZAH,TUNIS,5,12,6,6
TUN1047,EL MENZAH,TUNIS,4,16,8,6
TUN1062,EL MENZAH,TUNIS,1,4,0,2
TUN1065,EL MENZAH,TUNIS,6,9,9,6
TUN1072,EL MENZAH,TUNIS,3,12,6,6
TUN1132,EL MENZAH,TUNIS,3,9,6,0
TUN1157,EL MENZAH,TUNIS,4,12,6,6
TUN1199,EL MENZAH,TUNIS,4,15,6,6
TUN1258,EL MENZAH,TUNIS,4,9,6,6
TUN1292,EL MENZAH,TUNIS,4,12,6,6
TUN1313,EL MENZAH,TUNIS,3,6,4,4
TUN1330,EL MENZAH,TUNIS,#N/A,#N/A,#N/A,0
TUN1335,EL MENZAH,TUNIS,3,12,3,6
TUN1451,EL MENZAH,TUNIS,3,12,6,6
TUN1604,EL MENZAH,TUNIS,5,9,6,6
TUN1608,EL MENZAH,TUNIS,5,12,6,0
TUN1680,EL MENZAH,TUNIS,6,12,0,0
TUN2003,EL MENZAH,TUNIS,1,2,0,0
TUN2010,EL MENZAH,TUNIS,1,2,0,0
TUN2185,EL MENZAH,TUNIS,1,1,0,0
TUN2184,EL MENZAH,TUNIS,#N/A,#N/A,#N/A,0
TUN2238,EL MENZAH,TUNIS,1,2,1,0
TUN1415,EL MENZAH,TUNIS,4,12,9,6
NAB1086,EL MIDA,NABEUL,6,14,6,0
NAB1184,EL MIDA,NABEUL,6,14,0,0
TUN1141,EL MNIHLA,ARIANA,7,8,12,6
TUN1176,EL MNIHLA,ARIANA,5,12,6,6
TUN1238,EL MNIHLA,ARIANA,6,18,9,6
TUN1239,EL MNIHLA,ARIANA,6,18,9,6
TUN1240,EL MNIHLA,ARIANA,6,12,9,6
TUN1294,EL MNIHLA,ARIANA,5,18,9,6
TUN1319,EL MNIHLA,ARIANA,6,18,9,0
TUN1381,EL MNIHLA,ARIANA,5,12,12,6
TUN1497,EL MNIHLA,ARIANA,3,12,9,0
TUN1738,EL MNIHLA,ARIANA,4,15,9,6
TUN2172,EL MNIHLA,ARIANA,#N/A,#N/A,#N/A,0
TUN1801,EL MNIHLA,ARIANA,6,9,9,6
TUN1108,EL MORNAGUIA,MANOUBA,6,11,6,0
TUN1201,EL MORNAGUIA,MANOUBA,5,11,3,0
TUN1242,EL MORNAGUIA,MANOUBA,6,12,0,0
TUN1269,EL MORNAGUIA,MANOUBA,5,12,0,0
TUN1324,EL MORNAGUIA,MANOUBA,6,13,0,0
TUN1325,EL MORNAGUIA,MANOUBA,5,11,0,0
TUN1331,EL MORNAGUIA,MANOUBA,6,12,6,0
TUN1422,EL MORNAGUIA,MANOUBA,6,11,6,0
TUN1111,EL OMRANE,TUNIS,5,12,9,6
TUN1123,EL OMRANE,TUNIS,6,11,8,0
TUN1147,EL OMRANE,TUNIS,6,12,6,6
TUN1192,EL OMRANE,TUNIS,5,12,9,0
TUN1226,EL OMRANE,TUNIS,4,12,0,6
TUN1261,EL OMRANE,TUNIS,4,15,9,0
TUN1262,EL OMRANE,TUNIS,4,15,9,6
TUN1263,EL OMRANE,TUNIS,5,15,9,6
TUN1300,EL OMRANE,TUNIS,3,12,3,6
TUN1385,EL OMRANE,TUNIS,6,18,9,6
TUN1386,EL OMRANE,TUNIS,6,12,0,0
TUN1426,EL OMRANE,TUNIS,5,16,6,0
TUN1427,EL OMRANE,TUNIS,3,9,6,6
TUN1443,EL OMRANE,TUNIS,3,8,4,4
TUN2139,EL OMRANE,TUNIS,1,0,0,0
TUN1778,EL OMRANE SUPERIEUR,TUNIS,8,16,8,0
TUN1033,EL OMRANE SUPERIEUR,TUNIS,6,15,9,6
TUN1038,EL OMRANE SUPERIEUR,TUNIS,4,8,8,6
TUN1039,EL OMRANE SUPERIEUR,TUNIS,6,10,9,6
TUN1106,EL OMRANE SUPERIEUR,TUNIS,6,12,9,6
TUN1137,EL OMRANE SUPERIEUR,TUNIS,5,15,3,6
TUN1148,EL OMRANE SUPERIEUR,TUNIS,6,18,9,6
TUN1149,EL OMRANE SUPERIEUR,TUNIS,5,15,6,6
TUN1193,EL OMRANE SUPERIEUR,TUNIS,3,8,4,0
TUN1288,EL OMRANE SUPERIEUR,TUNIS,6,15,9,6
TUN1296,EL OMRANE SUPERIEUR,TUNIS,6,15,9,0
TUN1347,EL OMRANE SUPERIEUR,TUNIS,4,15,6,6
TUN1367,EL OMRANE SUPERIEUR,TUNIS,3,15,6,6
TUN1384,EL OMRANE SUPERIEUR,TUNIS,4,15,9,6
TUN1394,EL OMRANE SUPERIEUR,TUNIS,6,12,9,6
TUN1410,EL OMRANE SUPERIEUR,TUNIS,6,9,9,6
TUN1491,EL OMRANE SUPERIEUR,TUNIS,5,16,9,6
TUN2227,EL OMRANE SUPERIEUR,TUNIS,1,1,0,0
TUN2188,EL OMRANE SUPERIEUR,TUNIS,#N/A,#N/A,#N/A,0
TUN1407,EL OMRANE SUPERIEUR,TUNIS,6,9,9,0
BAR1009,EL OUARDIA,TUNIS,5,15,9,0
BAR1017,EL OUARDIA,TUNIS,4,12,6,0
BAR1078,EL OUARDIA,TUNIS,6,9,6,0
BAR1083,EL OUARDIA,TUNIS,4,15,9,0
BAR1119,EL OUARDIA,TUNIS,4,15,9,0
BAR1120,EL OUARDIA,TUNIS,3,12,0,0
BAR1126,EL OUARDIA,TUNIS,3,#N/A,#N/A,0
BAR1132,EL OUARDIA,TUNIS,4,8,6,0
SOS1012,ENFIDHA,SOUSSE,6,14,6,0
SOS1023,ENFIDHA,SOUSSE,6,16,3,0
SOS1024,ENFIDHA,SOUSSE,6,21,0,0
SOS1037,ENFIDHA,SOUSSE,8,17,8,0
SOS1076,ENFIDHA,SOUSSE,5,12,0,0
SOS1102,ENFIDHA,SOUSSE,6,12,0,0
SOS1104,ENFIDHA,SOUSSE,4,12,3,0
SOS1105,ENFIDHA,SOUSSE,1,4,0,0
SOS1118,ENFIDHA,SOUSSE,6,18,0,0
SOS1133,ENFIDHA,SOUSSE,8,16,0,0
SOS1138,ENFIDHA,SOUSSE,6,16,0,0
KAI1044,EN-NADHOUR,ZAGHOUAN,2,12,0,0
ZGO1026,EN-NADHOUR,ZAGHOUAN,8,4,0,0
ZGO1029,EN-NADHOUR,ZAGHOUAN,6,9,0,0
ZGT1055,EN-NADHOUR,ZAGHOUAN,6,9,0,0
ZGT1081,EN-NADHOUR,ZAGHOUAN,6,9,0,0
KAS1032,ER-ROUHIA,SILIANA,3,8,0,0
SLO1019,ER-ROUHIA,SILIANA,6,9,0,0
SLO1048,ER-ROUHIA,SILIANA,8,13,0,0
SLT1076,ER-ROUHIA,SILIANA,6,9,0,0
SLT1084,ER-ROUHIA,SILIANA,6,9,0,0
SLT1090,ER-ROUHIA,SILIANA,8,16,0,0
SIL1013,ER-ROUHIA,SILIANA,#N/A,#N/A,#N/A,0
SIL1048,ER-ROUHIA,SILIANA,#N/A,#N/A,#N/A,0
MAH1026,ESSOUASSI,MAHDIA,6,18,0,0
MAH1049,ESSOUASSI,MAHDIA,7,21,4,0
MAH1066,ESSOUASSI,MAHDIA,6,18,0,0
MAH1067,ESSOUASSI,MAHDIA,5,18,6,0
TUN1105,ETTAHRIR,TUNIS,6,15,9,6
TUN1389,ETTAHRIR,TUNIS,6,9,6,6
TUN1393,ETTAHRIR,TUNIS,6,15,9,0
BAR1003,EZZAHRA,BEN AROUS,5,15,9,#N/A
BAR1011,EZZAHRA,BEN AROUS,4,9,0,6
BAR1018,EZZAHRA,BEN AROUS,6,18,9,0
BAR1045,EZZAHRA,BEN AROUS,6,12,9,6
BAR1089,EZZAHRA,BEN AROUS,7,12,12,0
BAR1094,EZZAHRA,BEN AROUS,4,15,9,6
BAR1109,EZZAHRA,BEN AROUS,7,22,8,0
BAR1163,EZZAHRA,BEN AROUS,5,15,9,6
BAR1180,EZZAHRA,BEN AROUS,3,12,6,6
BAR1188,EZZAHRA,BEN AROUS,6,15,9,6
BAR1237,EZZAHRA,BEN AROUS,6,15,9,0
BAR2013,EZZAHRA,BEN AROUS,1,2,0,0
SOS1036,EZ-ZERIBA,ZAGHOUAN,4,12,0,0
ZGO1005,EZ-ZERIBA,ZAGHOUAN,5,9,0,0
ZGO1011,EZ-ZERIBA,ZAGHOUAN,5,9,0,0
ZGO1017,EZ-ZERIBA,ZAGHOUAN,4,12,0,0
ZGO1022,EZ-ZERIBA,ZAGHOUAN,4,14,0,0
ZGT1063,EZ-ZERIBA,ZAGHOUAN,6,12,0,0
ZGT1065,EZ-ZERIBA,ZAGHOUAN,4,3,0,0
ZGT1068,EZ-ZERIBA,ZAGHOUAN,4,3,0,0
ZGT1069,EZ-ZERIBA,ZAGHOUAN,4,9,0,0
KAS1025,EZZOUHOUR,KASSERINE,6,16,0,0
KAS1041,EZZOUHOUR,KASSERINE,4,15,6,0
TUN1165,EZZOUHOUR,TUNIS,3,12,0,0
TUN1166,EZZOUHOUR,TUNIS,4,9,0,0
TUN1167,EZZOUHOUR,TUNIS,6,12,9,0
TUN1275,EZZOUHOUR,TUNIS,6,18,9,0
KAS1010,FERIANA,KASSERINE,5,14,6,0
KAS1011,FERIANA,KASSERINE,4,9,4,0
KAS1023,FERIANA,KASSERINE,4,12,0,0
KAS1036,FERIANA,KASSERINE,6,12,6,0
JEN1021,FERNANA,JENDOUBA,8,18,8,0
JEN1023,FERNANA,JENDOUBA,4,10,0,0
JEN1058,FERNANA,JENDOUBA,5,12,0,0
BAR1019,FOUCHANA,BEN AROUS,6,16,9,0
BAR1020,FOUCHANA,BEN AROUS,6,18,9,0
BAR1021,FOUCHANA,BEN AROUS,8,22,12,0
BAR1029,FOUCHANA,BEN AROUS,6,12,9,6
BAR1030,FOUCHANA,BEN AROUS,5,18,9,0
BAR1063,FOUCHANA,BEN AROUS,6,18,9,0
BAR1065,FOUCHANA,BEN AROUS,5,9,3,0
BAR1066,FOUCHANA,BEN AROUS,6,18,9,0
BAR1073,FOUCHANA,BEN AROUS,5,9,9,0
BAR1077,FOUCHANA,BEN AROUS,6,12,8,0
BAR1110,FOUCHANA,BEN AROUS,8,12,8,6
BAR1121,FOUCHANA,BEN AROUS,6,17,9,0
BAR1129,FOUCHANA,BEN AROUS,6,16,9,0
BAR1143,FOUCHANA,BEN AROUS,4,12,6,0
BAR1150,FOUCHANA,BEN AROUS,5,14,9,0
BAR1162,FOUCHANA,BEN AROUS,4,9,0,0
BAR1166,FOUCHANA,BEN AROUS,4,12,9,0
BAR1170,FOUCHANA,BEN AROUS,6,15,6,0
BAR1171,FOUCHANA,BEN AROUS,4,12,9,6
BAR1179,FOUCHANA,BEN AROUS,5,16,6,6
BAR1195,FOUCHANA,BEN AROUS,6,12,0,6
BAR1196,FOUCHANA,BEN AROUS,3,12,0,0
BAR1199,FOUCHANA,BEN AROUS,7,20,9,0
BAR1084,FOUCHANA,BEN AROUS,#N/A,#N/A,#N/A,0
KAS1012,FOUSSANA,KASSERINE,2,6,0,0
KAS1013,FOUSSANA,KASSERINE,4,10,0,0
KAS1014,FOUSSANA,KASSERINE,8,20,8,0
KAS1027,FOUSSANA,KASSERINE,3,9,0,0
KAS1042,FOUSSANA,KASSERINE,5,9,0,0
KAS1043,FOUSSANA,KASSERINE,5,15,0,0
SLO1005,GAAFOUR,SILIANA,6,9,0,0
SLO1006,GAAFOUR,SILIANA,6,9,0,0
SLO1025,GAAFOUR,SILIANA,4,6,0,0
SLO1027,GAAFOUR,SILIANA,4,6,0,0
SLO1031,GAAFOUR,SILIANA,6,9,0,0
SLO1049,GAAFOUR,SILIANA,6,9,0,0
SLT1072,GAAFOUR,SILIANA,6,9,0,0
SLT1083,GAAFOUR,SILIANA,4,6,0,0
SIL1055,GAAFOUR,SILIANA,#N/A,#N/A,#N/A,0
SIL1005,GAAFOUR,SILIANA,#N/A,#N/A,#N/A,0
GAB1005,GABES MEDINA,GABES,7,2,8,0
GAB1007,GABES MEDINA,GABES,6,6,3,0
GAB1008,GABES MEDINA,GABES,4,12,6,0
GAB1011,GABES MEDINA,GABES,4,3,6,0
GAB1033,GABES MEDINA,GABES,5,5,3,0
GAB1037,GABES MEDINA,GABES,4,2,4,0
GAB1040,GABES MEDINA,GABES,5,12,6,0
GAB1059,GABES MEDINA,GABES,5,6,3,0
GAB1063,GABES MEDINA,GABES,5,6,6,0
GAB1067,GABES MEDINA,GABES,6,6,6,0
GAB1073,GABES MEDINA,GABES,5,3,6,0
GAB1075,GABES MEDINA,GABES,5,5,6,0
GAB1009,GABES OUEST,GABES,4,12,0,0
GAB1019,GABES OUEST,GABES,6,6,6,0
GAB1021,GABES OUEST,GABES,6,8,8,0
GAB1024,GABES OUEST,GABES,4,14,0,0
GAB1039,GABES OUEST,GABES,6,2,4,0
GAB1053,GABES OUEST,GABES,3,14,0,0
GAB1058,GABES OUEST,GABES,4,5,6,0
GAB1004,GABES SUD,GABES,5,6,6,0
GAB1006,GABES SUD,GABES,6,6,6,0
GAB1012,GABES SUD,GABES,5,6,8,0
GAB1013,GABES SUD,GABES,4,12,0,0
GAB1022,GABES SUD,GABES,7,6,6,0
GAB1023,GABES SUD,GABES,5,6,0,0
GAB1036,GABES SUD,GABES,5,6,6,0
GAB1049,GABES SUD,GABES,4,12,0,0
GAB1050,GABES SUD,GABES,5,6,6,0
GAB1061,GABES SUD,GABES,4,4,6,0
GAB1064,GABES SUD,GABES,3,12,6,0
GAB1069,GABES SUD,GABES,4,12,0,0
GAB1081,GABES SUD,GABES,3,#N/A,#N/A,0
GAB1083,GABES SUD,GABES,6,4,6,0
GAB1085,GABES SUD,GABES,7,2,8,0
GAB1092,GABES SUD,GABES,5,5,3,0
GAB1095,GABES SUD,GABES,6,6,8,0
GAB1082,GABES SUD,GABES,6,4,8,0
GAB1105,GABES SUD,GABES,3,6,0,0
GAF1012,GAFSA NORD,GAFSA,4,18,0,0
GAF1038,GAFSA NORD,GAFSA,3,11,0,0
GAF1076,GAFSA NORD,GAFSA,3,12,9,0
GAF1001,GAFSA SUD,GAFSA,6,16,6,0
GAF1002,GAFSA SUD,GAFSA,6,17,6,0
GAF1003,GAFSA SUD,GAFSA,8,18,8,0
GAF1004,GAFSA SUD,GAFSA,7,17,8,0
GAF1005,GAFSA SUD,GAFSA,6,17,6,0
GAF1007,GAFSA SUD,GAFSA,6,17,6,0
GAF1008,GAFSA SUD,GAFSA,2,4,0,0
GAF1020,GAFSA SUD,GAFSA,4,12,0,0
GAF1033,GAFSA SUD,GAFSA,6,13,6,0
GAF1036,GAFSA SUD,GAFSA,5,15,6,0
GAF1037,GAFSA SUD,GAFSA,4,18,0,0
GAF1046,GAFSA SUD,GAFSA,3,6,6,0
GAF1047,GAFSA SUD,GAFSA,6,20,6,0
GAF1048,GAFSA SUD,GAFSA,3,12,0,0
GAF1052,GAFSA SUD,GAFSA,6,16,6,0
GAF1065,GAFSA SUD,GAFSA,3,15,6,0
GAF1066,GAFSA SUD,GAFSA,6,18,6,0
GAF2002,GAFSA SUD,GAFSA,5,#N/A,#N/A,0
GAF2003,GAFSA SUD,GAFSA,2,2,0,0
GAF1079,GAFSA SUD,GAFSA,4,16,12,0
