Incident ID,Status,Affected CI,Primary Affected Service,Title,Assignment Group,Open Time,Area,Outage Start,Outage End,Assignee,Closure Code,Solution,Description,Department
IM1507136,Closed,JEN1016,BTS Service - JEN,"INCIDENT: JEN1016---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:8/8, 3G:22/22 ) Site Autonomy: - 00:05:49s SM Tickets: 0",maintenance jendouba,2/7/2022 13:32,Facteur externe,2/7/2022 13:17,2/7/2022 13:34,nizar.bouslimi,Closed without intervention,Retour energie STEG,"GAR DIMaou_DCS_4_JEN3016 : GSM Cell out of Service This ticket was created by user netcool.sm on NOI from impact INCIDENT: JEN1016---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:8/8, 3G:22/22 ) Site Autonomy: - 00:05:49s SM Tickets: 0",Département Maintenance
IM1507139,Closed,BAR4082,NodeB Service - BAR,"INCIDENT: BAR1082---2G3G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 2G:0/7, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 2",Maintenance FOUCHENA-MHAMDIA,2/7/2022 13:45,Opération Programée,2/7/2022 13:29,2/7/2022 14:17,hassen.dhahbi,Solved by Appropriate Solution,sin operation,"BAR4082F11 : WCDMA CELL OUT OF USE This ticket was created by user netcool.sm on NOI from impact INCIDENT: BAR1082---2G3G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 2G:3/7, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1507141,Closed,BARL082,eNB Service - BAR,INCIDENT: BAR1082---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/9 ) SM Tickets: 2,MAINTENANCE FOUCHENA-MHAMDIA,2/7/2022 13:47,Facteur externe,2/7/2022 13:31,2/7/2022 14:13,hassen.dhahbi,Closed without intervention,Retour energie STEG,BARL082 : BASE STATION SERVICE PROBLEM This ticket was created by user netcool.sm on NOI from impact INCIDENT: BAR1082---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/9 ) SM Tickets: 1,Département Maintenance
IM1507142,Closed,RNIA_TOZ8306_MWE_118023_ISET_Tozeur,RNIA Service - TOZ,rnia_toz8306_mwe_118023_iset_tozeur Down,Support Technique Fixe et B2B,2/7/2022 13:48,Network,2/7/2022 13:36,2/7/2022 13:57,habib.elkastouri,Resolved without intervention,  CPE UP sans intervention,Noeud: rnia_toz8306_mwe_118023_iset_tozeur  Sévérité: major  Temps de création: 07/02/22 13:36:21  Temps de réception: 07/02/22 13:38:16  Application: null  Objet: null  Texte message: Node RNIA_TOZ8306_MWE_118023_ISET_Tozeur DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336569,Département Maintenance
IM1507143,Closed,RNIA_TOZ8307_MW_118023_ISEAHT_Tozeur,RNIA Service - TOZ,rnia_toz8307_mw_118023_iseaht_tozeur Down,Support Technique Fixe et B2B,2/7/2022 13:52,Network,2/7/2022 13:41,2/7/2022 13:57,habib.elkastouri,Resolved without intervention,  CPE UP sans intervention,Noeud: rnia_toz8307_mw_118023_iseaht_tozeur  Sévérité: major  Temps de création: 07/02/22 13:41:52  Temps de réception: 07/02/22 13:42:49  Application: null  Objet: null  Texte message: Node RNIA_TOZ8307_MW_118023_ISEAHT_Tozeur.ooredoo.tn DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336570,Département Maintenance
IM1507144,Closed,KEB4033,NodeB Service - KEB,"INCIDENT: KEB1033---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:3/3, 3G:9/9 ) Site Autonomy: 04:31:21s SM Tickets: 2",Maintenance KEBELI,2/7/2022 14:06,Facteur externe,2/7/2022 13:50,2/7/2022 15:46,maher.othmani,Resolved without intervention,Retour STEG,"KEB4033F01 : Local Cell Unusable This ticket was created by user netcool.sm on NOI from impact INCIDENT: KEB1033---2G3G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 2G:2/3, 3G:6/9 ) Site Autonomy: 04:31:21s SM Tickets: 1",Département Maintenance
IM1507145,Closed,SOS4008,NodeB Service - SOS,"INCIDENT: SOS1008---2G3G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 2G:1/8, 3G:1/12 ) Site Autonomy: N/A SM Tickets: 1",Maintenance HAMMEM SOUSSE-KALAA,2/7/2022 14:09,hardware,2/7/2022 13:53,2/7/2022 19:21,wajdi.khelifa,Solved by Hardware Replacement,Changement MRFU,"SOS4008F54 : Local Cell Unusable This ticket was created by user netcool.sm on NOI from impact INCIDENT: SOS1008---2G3G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 2G:1/8, 3G:1/12 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1507147,Closed,CPE_TUNB004_FTTH_Hiperdist_Alliances,CPE Service - TUN,cpe_tunb004_ftth_hiperdist_alliances Down,Support Technique Fixe et B2B,2/7/2022 14:11,Network,2/7/2022 13:59,2/7/2022 14:20,habib.elkastouri,Resolved without intervention,  CPE UP sans intervention,Noeud: cpe_tunb004_ftth_hiperdist_alliances  Sévérité: major  Temps de création: 07/02/22 13:59:10  Temps de réception: 07/02/22 14:01:20  Application: null  Objet: null  Texte message: Node CPE_TUNB004_FTTH_Hiperdist_Alliances DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336574,Département Maintenance
IM1507149,Closed,CPE_SOS8377_1_FH_HAMELIN_BRANDS_FH,CPE Service - SOS8,cpe_sos8377_1_fh_hamelin_brands_fh Down,Support Technique Fixe et B2B,2/7/2022 14:19,Network,2/7/2022 14:08,2/7/2022 14:45,habib.elkastouri,Resolved without intervention,  CPE UP sans intervention,Noeud: cpe_sos8377_1_fh_hamelin_brands_fh  Sévérité: major  Temps de création: 07/02/22 14:08:15  Temps de réception: 07/02/22 14:09:53  Application: null  Objet: null  Texte message: Node CPE_SOS8377_1_FH_HAMELIN_BRANDS_FH DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336575,Département Maintenance
IM1507155,Closed,BIZ1103,BTS Service - BIZ,"INCIDENT: BIZ1103---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:12/12 ) Site Autonomy: 00:01:58s SM Tickets: 2",Maintenance BEJA NORD,2/7/2022 14:35,Facteur externe,2/7/2022 14:19,2/7/2022 16:22,bechir.haboubi,Resolved without intervention,retour steg,"Touejnia_BIZ1103 : OML Fault This ticket was created by user netcool.sm on NOI from impact INCIDENT: BIZ1103---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:12/12 ) Site Autonomy: 00:01:58s SM Tickets: 1",Département Maintenance
IM1507161,Closed,BIZ1122,BTS Service - BIZ,"INCIDENT: BIZ1122---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:8/8, 3G:2/16 ) Site Autonomy: N/A SM Tickets: 1",Maintenance BIZERTE NORD,2/7/2022 14:40,energie,2/7/2022 14:24,2/7/2022 15:41,yessine.mendili,Solved by Appropriate Solution,chante phase steg,"Entree Bizerte_1_BIZ1122 : OML Fault This ticket was created by user netcool.sm on NOI from impact INCIDENT: BIZ1122---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:8/8, 3G:16/16 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1507162,Closed,RNIA3_GAF8342_MW_371058_MunRdeyef,RNIA3 Service - GAF,rnia3_gaf8342_mw_371058_munrdeyef Down,Support Technique Fixe et B2B,2/7/2022 14:48,Network,2/7/2022 14:36,2/7/2022 14:58,habib.elkastouri,Resolved without intervention,  CPE UP sans intervention,Noeud: rnia3_gaf8342_mw_371058_munrdeyef  Sévérité: major  Temps de création: 07/02/22 14:36:32  Temps de réception: 07/02/22 14:38:27  Application: null  Objet: null  Texte message: Node RNIA3_GAF8342_MW_371058_MunRdeyef DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336577,Département Maintenance
IM1507167,Closed,TUNL446,eNB Service - TUN,INCIDENT: TUN1446---4G---Hors Service: Cell Failure caused by Total Cell Failure: ( 4G:1/6 ) SM Tickets: 1,Maintenance JDAIDA-TBORBA,2/7/2022 15:03,Facteur externe,2/7/2022 1:04,2/7/2022 15:06,amor.haddad,Resolved without intervention,retour steg,TUNL446 : BASE STATION CONNECTIVITY PROBLEM This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1446---4G---Hors Service: Cell Failure caused by Total Cell Failure: ( 4G:1/6 ) SM Tickets: 1,Département Maintenance
IM1507169,Closed,ZGOL017,eNB Service - ZGO,INCIDENT: ZGO1017---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/8 ) SM Tickets: 1,Maintenance ZAGHOUANE,2/7/2022 15:08,Opération Programée,2/7/2022 14:53,2/7/2022 15:43,khaled.aouini,Solved by Appropriate Solution,fin operation,ZGOL017O14 : Cell Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: ZGO1017---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/8 ) SM Tickets: 0,Département Maintenance
IM1507172,Closed,CPE_TUNC096_FTTH_Smart_SEVEN,CPE Service - TUNC,cpe_tunc096_ftth_smart_seven Down,Support Technique Fixe et B2B,2/7/2022 15:12,Facteur externe,2/7/2022 14:57,2/9/2022 9:53,habib.elkastouri,Resolved without intervention, Suite coupure courant,Noeud: cpe_tunc096_ftth_smart_seven  Sévérité: major  Temps de création: 07/02/22 14:57:44  Temps de réception: 07/02/22 14:59:03  Application: null  Objet: null  Texte message: Node CPE_TUNC096_FTTH_Smart_SEVEN.tunisiana.com DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336580,Département Maintenance
IM1507175,Closed,KEF4028,NodeB Service - KEF,"INCIDENT: KEF1028---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:3/3, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 1",Maintenance KEF,2/7/2022 15:20,Facteur externe,2/7/2022 15:04,2/7/2022 16:18,slah.bannouri,Resolved without intervention,retour steg,"KEF4028 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: KEF1028---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:3/3, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1507176,Closed,KEF4008,NodeB Service - KEF,"INCIDENT: KEF1008---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:0/12 ) Site Autonomy: 03:41:54s SM Tickets: 2",Maintenance KEF,2/7/2022 15:20,Facteur externe,2/7/2022 15:04,2/7/2022 16:27,slah.bannouri,Resolved without intervention,retour steg,"KEF4008 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: KEF1008---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:12/12 ) Site Autonomy: 03:40:49s SM Tickets: 1",Département Maintenance
IM1507179,Closed,KEF4018,NodeB Service - KEF,"INCIDENT: KEF1018---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:2/2, 3G:6/6 ) Site Autonomy: N/A SM Tickets: 1",Maintenance JENDOUBA,2/7/2022 15:20,Facteur externe,2/7/2022 15:04,2/7/2022 16:18,nizar.bouslimi,Resolved without intervention,retour steg,"KEF4018 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: KEF1018---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:2/2, 3G:6/6 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1507181,Closed,RNIA3_GAF8342_MW_371058_MunRdeyef,RNIA3 Service - GAF,rnia3_gaf8342_mw_371058_munrdeyef Down,Support Technique Fixe et B2B,2/7/2022 15:33,Network,2/7/2022 15:21,2/7/2022 16:23,habib.elkastouri,Resolved without intervention,CPE UP sans intervention,Noeud: rnia3_gaf8342_mw_371058_munrdeyef  Sévérité: major  Temps de création: 07/02/22 15:21:32  Temps de réception: 07/02/22 15:23:34  Application: null  Objet: null  Texte message: Node RNIA3_GAF8342_MW_371058_MunRdeyef DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336581,Département Maintenance
IM1507183,Closed,CPE_KEF8310_MW_Mabrouka_SITE_BORJ,CPE Service - KEF,cpe_kef8310_mw_mabrouka_site_borj Down,Support Technique Fixe et B2B,2/7/2022 15:39,Network,2/7/2022 15:28,2/7/2022 16:29,medamine.labassi,Solved by Appropriate Solution,cpe up lien up,Noeud: cpe_kef8310_mw_mabrouka_site_borj  Sévérité: major  Temps de création: 07/02/22 15:28:09  Temps de réception: 07/02/22 15:29:07  Application: null  Objet: null  Texte message: Node CPE_KEF8310_MW_Mabrouka_SITE_BORJ.tunisiana.com DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336582,Département Maintenance
IM1507188,Closed,TUNM124,eNB Service - TUN,INCIDENT: TUN2124---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/2 ) SM Tickets: 1,Maintenance EL MENZA-ENNASR-EL MANAR,2/7/2022 16:03,Facteur externe,2/7/2022 15:47,2/8/2022 11:00,hatem.haboubi,Resolved without intervention,Retour STEG,TUNM124 : BASE STATION SERVICE PROBLEM This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN2124---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/2 ) SM Tickets: 0,Département Maintenance
IM1507189,Closed,KAS4006,NodeB Service - KAS,"INCIDENT: KAS1006---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:18/18 ) Site Autonomy: 1 day, 1 hour SM Tickets: 1",maintenance sidi bouzid est,2/7/2022 16:05,Facteur externe,2/7/2022 15:50,2/7/2022 16:10,ramzi.ghanmi,Closed without intervention,Retour energie STEG,"KAS4006 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: KAS1006---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:18/18 ) Site Autonomy: 1 day, 1 hour SM Tickets: 1",Département Maintenance
IM1507191,Closed,BAR1049,BTS Service - BAR,"INCIDENT: BAR1049---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:9/12 ) Site Autonomy: N/A SM Tickets: 1",Maintenance EZZAHRA-HAMMAM LIF,2/7/2022 16:16,Opération Programée,2/7/2022 16:00,2/8/2022 14:52,abderraouf.benmrad,Solved by Appropriate Solution,Fin intervention Nokia,"HmamLif2_2_BAR1049 : BCCH MISSING This ticket was created by user netcool.sm on NOI from impact INCIDENT: BAR1049---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:9/12 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1507203,Closed,RNIA3_GAF8342_MW_371058_MunRdeyef,RNIA3 Service - GAF,rnia3_gaf8342_mw_371058_munrdeyef Down,Support Technique Fixe et B2B,2/7/2022 16:52,Network,2/7/2022 16:41,2/7/2022 21:07,medamine.labassi,Resolved without intervention,cpe up lien up,Noeud: rnia3_gaf8342_mw_371058_munrdeyef  Sévérité: major  Temps de création: 07/02/22 16:41:32  Temps de réception: 07/02/22 16:42:20  Application: null  Objet: null  Texte message: Node RNIA3_GAF8342_MW_371058_MunRdeyef DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336587,Département Maintenance
IM1507206,Closed,MONL046,eNB Service - MON,INCIDENT: MON1046---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:3/4 ) SM Tickets: 0,maintenance monastir banlieue,2/7/2022 17:02,Facteur externe,2/7/2022 16:46,2/7/2022 17:05,abdelmalek.rouissi,Closed without intervention,Retour energie STEG,MONL046F11 : Cell Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: MON1046---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:3/4 ) SM Tickets: 0,Département Service Operation Center
IM1507207,Closed,MON4046,NodeB Service - MON,"INCIDENT: MON1046---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:3/3, 3G:6/6 ) Site Autonomy: 00:00:16s SM Tickets: 3",maintenance monastir banlieue,2/7/2022 17:02,Facteur externe,2/7/2022 16:46,2/7/2022 17:07,abdelmalek.rouissi,Closed without intervention,Retour energie STEG,"MON4046F01 : Local Cell Unusable This ticket was created by user netcool.sm on NOI from impact INCIDENT: MON1046---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:3/3, 3G:6/6 ) Site Autonomy: 00:00:16s SM Tickets: 0",Département Service Operation Center
IM1507210,Closed,CPE_TUN8817_MW_ABID-Mondial_Abid-Med-Tunis,CPE Service - TUN,cpe_tun8817_mw_abid-mondial_abid-med-tunis Down,Support Technique Fixe et B2B,2/7/2022 17:06,Facteur externe,2/7/2022 16:54,2/7/2022 16:56,medamine.labassi,Resolved without intervention,cpe fermé par le client,Noeud: cpe_tun8817_mw_abid-mondial_abid-med-tunis  Sévérité: major  Temps de création: 07/02/22 16:54:44  Temps de réception: 07/02/22 16:56:23  Application: null  Objet: null  Texte message: Node CPE_TUN8817_MW_ABID-Mondial_Abid-Med-Tunis DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336588,Département Maintenance
IM1507214,Closed,CPE_TUN8895_FO_BSB_Charguia,CPE Service - TUN,cpe_tun8895_fo_bsb_charguia Down,Support Technique Fixe et B2B,2/7/2022 17:19,Network,2/7/2022 17:07,2/7/2022 17:28,habib.elkastouri,Resolved without intervention, CPE UP sans intervention,Noeud: cpe_tun8895_fo_bsb_charguia  Sévérité: major  Temps de création: 07/02/22 17:07:18  Temps de réception: 07/02/22 17:08:25  Application: null  Objet: null  Texte message: Node CPE_TUN8895_FO_BSB_Charguia DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336589,Département Maintenance
IM1507216,Closed,SFX4105,NodeB Service - SFX,"INCIDENT: SFX1105---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:12/12 ) Site Autonomy: 02:29:35s SM Tickets: 3",Maintenance SFAX CENTRE -02-,2/7/2022 17:23,energie,2/7/2022 17:07,2/7/2022 18:18,younes.janfaoui,Solved by Appropriate Solution,Normalisation neutre STEG,"SFX4105 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: SFX1105---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:12/12 ) Site Autonomy: 02:29:35s SM Tickets: 1",Département Maintenance
IM1507218,Closed,SFXF105,FWBA Service - SFX,INCIDENT: SFX1105---FWBA---Hors Service: CAUSE AND IMPACT: Total Cell Failure: ( FWBA:4/4 ) SM Tickets: 3,Maintenance SFAX CENTRE -02-,2/7/2022 17:25,energie,2/7/2022 17:10,2/7/2022 18:17,younes.janfaoui,Solved by Appropriate Solution,Normalisation neutre STEG,SFXF105 : NE Is Disconnected This ticket was created by user netcool.sm on NOI from impact INCIDENT: SFX1105---FWBA---Hors Service: CAUSE AND IMPACT: Total Cell Failure: ( FWBA:4/4 ) SM Tickets: 2,Département Maintenance
IM1507221,Closed,SOS4047,NodeB Service - SOS,"INCIDENT: SOS1047---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:11/11 ) Site Autonomy: N/A SM Tickets: 2",Maintenance SOUSSE CENTRE VILLE-ROUTE MONASTIR,2/7/2022 17:40,energie,2/7/2022 17:24,2/7/2022 19:40,noamene.benjomaa,Solved by Appropriate Solution,Normalisation TGBT,"SOS4047 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: SOS1047---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:11/11 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1507225,Closed,SOSF047,FWBA Service - SOS,INCIDENT: SOS1047---FWBA---Hors Service: CAUSE AND IMPACT: Total Cell Failure: ( FWBA:6/6 ) SM Tickets: 2,Maintenance SOUSSE CENTRE VILLE-ROUTE MONASTIR,2/7/2022 17:43,energie,2/7/2022 17:27,2/7/2022 19:35,noamene.benjomaa,Solved by Appropriate Solution,Normalisation TGBT,SOSF047 : NE Is Disconnected This ticket was created by user netcool.sm on NOI from impact INCIDENT: SOS1047---FWBA---Hors Service: CAUSE AND IMPACT: Total Cell Failure: ( FWBA:6/6 ) SM Tickets: 1,Département Maintenance
IM1507227,Closed,RNIA_TAT8317_FO_C.R.Aff.femme.famille.Tataouine,RNIA Service - TAT, RNIA_TAT8317_FO_C.R.Aff.femme.famille.Tataouine  Down,Support Technique Fixe et B2B,2/7/2022 17:51,Network,2/7/2022 17:40,2/7/2022 17:45,medamine.labassi,Resolved without intervention,Resolved without intervention,Noeud: opscxprod  Sévérité: major  Temps de création: 07/02/22 17:40:39  Temps de réception: 07/02/22 17:41:30  Application: null  Objet: null  Texte message: Node RNIA_TAT8317_FO_C.R.Aff.femme.famille.Tataouine.ooredoo.tn DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336592,Département Maintenance
IM1507231,Closed,CPE_SOS8367_MW_ZITOUNA_Sousse_Erriadh,CPE Service - SOS8,cpe_sos8367_mw_zitouna_sousse_erriadh Down,Support Technique Fixe et B2B,2/7/2022 18:01,Network,2/7/2022 17:50,2/7/2022 21:08,medamine.labassi,Solved by Appropriate Solution,cpe up lien up,Noeud: cpe_sos8367_mw_zitouna_sousse_erriadh  Sévérité: major  Temps de création: 07/02/22 17:50:09  Temps de réception: 07/02/22 17:51:33  Application: null  Objet: null  Texte message: Node CPE_SOS8367_MW_ZITOUNA_Sousse_Erriadh DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336593,Département Maintenance
IM1507232,Closed,CPE_TUN8895_FO_BSB_Charguia,CPE Service - TUN,cpe_tun8895_fo_bsb_charguia Down,Support Technique Fixe et B2B,2/7/2022 18:04,Network,2/7/2022 17:52,2/7/2022 18:13,habib.elkastouri,Resolved without intervention,  CPE UP sans intervention,Noeud: cpe_tun8895_fo_bsb_charguia  Sévérité: major  Temps de création: 07/02/22 17:52:18  Temps de réception: 07/02/22 17:54:01  Application: null  Objet: null  Texte message: Node CPE_TUN8895_FO_BSB_Charguia DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336594,Département Maintenance
IM1507233,Closed,CPE_TUN8681_MW_TTS_Billetterie,CPE Service - TUN,cpe_tun8681_mw_tts_billetterie Down,Support Technique Fixe et B2B,2/7/2022 18:05,Facteur externe,2/7/2022 17:53,2/7/2022 17:56,medamine.labassi,Resolved without intervention,cpe fermé par le client,Noeud: cpe_tun8681_mw_tts_billetterie  Sévérité: major  Temps de création: 07/02/22 17:53:53  Temps de réception: 07/02/22 17:55:33  Application: null  Objet: null  Texte message: Node CPE_TUN8681_MW_TTS_Billetterie.ooredoo.tn DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336595,Département Maintenance
IM1507236,Closed,CPE_TUN8312_MW_LLOYD_18_Janvier,CPE Service - TUN,cpe_tun8312_mw_lloyd_18_janvier Down,Support Technique Fixe et B2B,2/7/2022 18:09,Network,2/7/2022 17:57,2/7/2022 21:34,habib.elkastouri,Resolved without intervention,  CPE UP sans intervention,Noeud: cpe_tun8312_mw_lloyd_18_janvier  Sévérité: major  Temps de création: 07/02/22 17:57:58  Temps de réception: 07/02/22 17:59:34  Application: null  Objet: null  Texte message: Node CPE_TUN8312_MW_LLOYD_18_Janvier.tunisiana.com DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336596,Département Maintenance
IM1507239,Closed,CPE_SFX8665_MW_ZEN_Logistic_SFAX,CPE Service - SFX8,cpe_sfx8665_mw_zen_logistic_sfax Down,Support Technique Fixe et B2B,2/7/2022 18:27,Facteur externe,2/7/2022 18:16,2/7/2022 20:16,medamine.labassi,Resolved without intervention,cpe fermé par le client,Noeud: cpe_sfx8665_mw_zen_logistic_sfax  Sévérité: major  Temps de création: 07/02/22 18:16:38  Temps de réception: 07/02/22 18:17:37  Application: null  Objet: null  Texte message: Node CPE_SFX8665_MW_ZEN_Logistic_SFAX DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336598,Département Maintenance
IM1507243,Closed,RNIA3_KAS8343_MW_342054_MUN-khmaissia,RNIA3 Service - KAS,rnia3_kas8343_mw_342054_mun-khmaissia Down,Support Technique Fixe et B2B,2/7/2022 18:35,Network,2/7/2022 18:24,2/7/2022 20:41,habib.elkastouri,Resolved without intervention,  CPE UP sans intervention,Noeud: rnia3_kas8343_mw_342054_mun-khmaissia  Sévérité: major  Temps de création: 07/02/22 18:24:23  Temps de réception: 07/02/22 18:25:38  Application: null  Objet: null  Texte message: Node RNIA3_KAS8343_MW_342054_MUN-khmaissia DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336599,Département Maintenance
IM1507250,Closed,KAI4005,NodeB Service - KAI,"INCIDENT: KAI1005---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:4/4, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 2",Maintenance KAIROUAN OUEST,2/7/2022 18:49,transmission,2/7/2022 18:34,2/7/2022 19:29,ramzi.jebaniani,Solved by Appropriate Solution,Serrage connectique ,"KAI4005F13 : Local Cell Unusable This ticket was created by user netcool.sm on NOI from impact INCIDENT: KAI1005---2G3G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 2G:0/4, 3G:2/12 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1507251,Closed,KAIL005,eNB Service - KAI,INCIDENT: KAI1005---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:2/9 ) SM Tickets: 2,Maintenance KAIROUAN OUEST,2/7/2022 18:49,transmission,2/7/2022 18:34,2/7/2022 19:28,ramzi.jebaniani,Solved by Appropriate Solution,Serrage Connectique ,KAIL005F13 : Cell Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: KAI1005---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:2/9 ) SM Tickets: 0,Département Maintenance
IM1507253,Closed,CPE_TUN8895_FO_BSB_Charguia,CPE Service - TUN,cpe_tun8895_fo_bsb_charguia Down,Support Technique Fixe et B2B,2/7/2022 19:08,Network,2/7/2022 18:57,2/7/2022 19:13,habib.elkastouri,Resolved without intervention,  CPE UP sans intervention,Noeud: cpe_tun8895_fo_bsb_charguia  Sévérité: major  Temps de création: 07/02/22 18:57:18  Temps de réception: 07/02/22 18:58:45  Application: null  Objet: null  Texte message: Node CPE_TUN8895_FO_BSB_Charguia DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336601,Département Maintenance
IM1507254,Closed,RNIA3_GAF8342_MW_371058_MunRdeyef,RNIA3 Service - GAF,rnia3_gaf8342_mw_371058_munrdeyef Down,Support Technique Fixe et B2B,2/7/2022 19:12,Network,2/7/2022 19:01,2/7/2022 20:02,medamine.labassi,Resolved without intervention,cpe up lien up,Noeud: rnia3_gaf8342_mw_371058_munrdeyef  Sévérité: major  Temps de création: 07/02/22 19:01:32  Temps de réception: 07/02/22 19:02:45  Application: null  Objet: null  Texte message: Node RNIA3_GAF8342_MW_371058_MunRdeyef DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2336602,Département Maintenance
